user,login_attempt_count,failed_login_count,success_login_count,unique_ip_count,unique_country_count,unique_device_count,avg_login_hour,std_login_hour,first_login_time,last_login_time,failed_login_ratio,activity_span_hours,login_rate_per_hour,ip_entropy,country_entropy,device_entropy
user_1000,14,0,14,4,1,1,11.214285714285714,1.8050600428356278,2020-02-03 13:08:41,2020-02-13 09:43:59,0.0,236.58833333333334,0.05892545228792098,1.727396667803699,0.0,0.0
user_10034,25,10,15,6,1,1,15.64,1.7530925056406268,2020-02-03 17:03:21,2020-02-09 16:01:46,0.4,142.9736111111111,0.17364293225031596,1.9837164425578384,0.0,0.0
user_101039,12,1,11,1,1,2,14.25,2.1373305355470453,2020-02-06 19:20:53,2020-02-15 14:54:36,0.08333333333333333,211.56194444444444,0.05645413167142128,0.0,0.0,0.6500224187629642
user_101136,10,3,7,3,1,2,16.5,3.3082388735465345,2020-02-06 19:24:39,2020-02-10 08:07:27,0.3,84.71333333333334,0.11666796297736641,0.9219280905592773,0.0,0.7219280920019722
user_102353,11,9,2,5,1,2,15.272727272727273,2.7961011816781265,2020-02-06 20:09:56,2020-02-14 16:23:31,0.8181818181818182,188.2263888888889,0.05813142693569578,1.971747249914705,0.0,0.43949698403612325
user_10251,10,1,9,2,1,1,17.0,0.0,2020-02-03 17:09:54,2020-02-03 17:42:45,0.1,0.5475,6.462035541195477,0.4689955907038912,0.0,0.0
user_102611,11,0,11,3,1,2,17.636363636363637,2.4196167991120934,2020-02-06 20:20:35,2020-02-16 16:04:04,0.0,235.72472222222223,0.04646747452796204,0.8658566131291383,0.0,0.43949698403612325
user_104188,16,7,9,1,1,1,20.5,5.1510516725551625,2020-02-06 21:36:01,2020-02-07 09:56:23,0.4375,12.339444444444444,1.199450251967848,0.0,0.0,0.0
user_104284,11,5,6,2,1,1,21.454545454545453,0.5222329678670941,2020-02-06 21:41:20,2020-02-06 22:16:05,0.45454545454545453,0.5791666666666667,6.965699208443272,0.9940302085915663,0.0,0.0
user_104331,14,1,13,6,1,1,13.285714285714286,3.6884136975664217,2020-02-06 21:44:03,2020-02-13 16:32:13,0.07142857142857142,162.80277777777778,0.08546863606301616,2.3527457722156995,0.0,0.0
user_104480,36,11,25,1,1,2,15.222222222222221,5.430659581677304,2020-02-06 21:53:36,2020-02-07 12:59:08,0.3055555555555556,15.092222222222222,2.2371055720499897,0.0,0.0,0.41381684741824376
user_104624,10,3,7,3,1,1,17.7,5.945119380167605,2020-02-06 22:03:11,2020-02-10 20:29:46,0.3,94.44305555555556,0.10477451650926235,1.1567796451189545,0.0,0.0
user_104774,14,6,8,6,1,1,14.428571428571429,7.743128822126361,2020-02-06 22:16:37,2020-02-17 05:18:49,0.42857142857142855,247.03666666666666,0.05644326779642795,2.521640627687148,0.0,0.0
user_104972,11,0,11,4,1,1,13.454545454545455,5.279462782587569,2020-02-06 22:34:54,2020-02-17 09:39:34,0.0,251.07777777777778,0.04363732534050337,1.9362600217607473,0.0,0.0
user_105300,10,1,9,2,1,1,14.6,10.844353369380768,2020-02-06 23:06:27,2020-02-14 02:04:25,0.1,170.9661111111111,0.05815099228207108,0.9709505915692787,0.0,0.0
user_105312,12,1,11,2,1,1,17.083333333333332,5.484827557301445,2020-02-06 23:07:36,2020-02-08 18:16:22,0.08333333333333333,43.14611111111111,0.2718246227804135,0.6500224187629642,0.0,0.0
user_105979,36,1,35,13,3,2,15.972222222222221,5.886964345598605,2020-02-07 01:25:57,2020-02-17 00:24:57,0.027777777777777776,238.98333333333332,0.15001041739009655,3.012494513648201,0.9444885298381203,0.5813214958783127
user_106142,13,0,13,3,1,1,5.6923076923076925,2.868931722918695,2020-02-07 02:00:46,2020-02-07 09:47:35,0.0,7.780277777777778,1.4805909709260021,1.5766212157794062,0.0,0.0
user_10617,25,1,24,4,1,2,14.24,5.133874430356343,2020-02-03 17:21:19,2020-02-16 23:47:01,0.04,318.42833333333334,0.07826481683424033,1.2913146828789408,0.0,0.4021791873168828
user_106173,12,0,12,4,1,1,8.0,7.185844671043457,2020-02-07 02:08:16,2020-02-16 01:46:33,0.0,215.63805555555555,0.0553919299599819,1.8250112050533969,0.0,0.0
user_106399,11,0,11,6,1,1,9.454545454545455,4.885972500201702,2020-02-07 02:47:22,2020-02-15 05:33:25,0.0,194.7675,0.056189101868287634,2.4817145643299026,0.0,0.0
user_107294,34,5,29,5,1,1,9.941176470588236,3.9614902037719464,2020-02-07 05:07:17,2020-02-13 11:21:44,0.14705882352941177,150.24083333333334,0.2248070130972125,1.5557510683128792,0.0,0.0
user_107541,12,0,12,3,1,2,10.333333333333334,3.938927711338647,2020-02-07 05:39:08,2020-02-15 13:40:07,0.0,200.01638888888888,0.05969662506788419,1.4591479126991596,0.0,0.41381684741824376
