timestamp,user,ip,country,device,success,hour,day_of_week
2020-02-03 12:45:31,user_52,176.107.143.231,PL,mobile,1,12,0
2020-02-03 12:46:29,user_94,182.50.190.42,NO,desktop,1,12,0
2020-02-03 12:48:35,user_196,139.164.65.202,NO,desktop,1,12,0
2020-02-03 12:51:09,user_52,176.107.143.231,PL,mobile,1,12,0
2020-02-03 12:51:44,user_52,176.107.143.231,PL,mobile,1,12,0
2020-02-03 12:52:31,user_52,176.107.143.231,PL,mobile,1,12,0
2020-02-03 12:55:13,user_479,188.228.102.85,NO,mobile,1,12,0
2020-02-03 12:55:35,user_493,89.221.242.4,NO,desktop,1,12,0
2020-02-03 12:56:40,user_536,80.211.253.163,PL,mobile,1,12,0
2020-02-03 13:01:23,user_728,158.149.67.80,NO,desktop,1,13,0
2020-02-03 13:02:51,user_772,170.39.79.180,US,mobile,1,13,0
2020-02-03 13:05:00,user_851,95.169.53.178,NO,desktop,1,13,0
2020-02-03 13:08:41,user_1000,10.0.76.201,NO,desktop,1,13,0
2020-02-03 13:10:45,user_1095,91.90.106.237,NO,desktop,1,13,0
2020-02-03 13:11:40,user_1127,84.48.217.153,NO,mobile,1,13,0
2020-02-03 13:14:43,user_1256,87.248.0.39,NO,mobile,0,13,0
2020-02-03 13:16:16,user_1331,10.0.77.173,NO,mobile,1,13,0
2020-02-03 13:16:48,user_1256,87.248.0.39,NO,mobile,0,13,0
2020-02-03 13:17:00,user_1357,10.0.159.49,PL,mobile,0,13,0
2020-02-03 13:18:57,user_1256,87.248.0.39,NO,mobile,1,13,0
2020-02-03 13:19:22,user_772,170.39.79.180,US,mobile,1,13,0
2020-02-03 13:20:12,user_1357,10.0.159.49,PL,mobile,1,13,0
2020-02-03 13:20:14,user_1480,51.175.242.46,NO,desktop,1,13,0
2020-02-03 13:20:57,user_1256,87.248.0.39,NO,mobile,0,13,0
2020-02-03 13:20:59,user_1357,176.112.72.18,PL,mobile,0,13,0
2020-02-03 13:23:31,user_1600,152.93.214.183,NO,desktop,1,13,0
2020-02-03 13:24:23,user_772,170.39.79.180,US,mobile,0,13,0
2020-02-03 13:24:34,user_772,170.39.79.180,US,mobile,0,13,0
2020-02-03 13:24:48,user_479,188.228.102.85,NO,mobile,1,13,0
2020-02-03 13:27:11,user_1747,81.166.88.183,NO,mobile,1,13,0
2020-02-03 13:27:34,user_1758,79.161.164.255,NO,mobile,1,13,0
2020-02-03 13:27:38,user_1760,79.160.214.0,NO,mobile,1,13,0
2020-02-03 13:31:32,user_1925,79.160.188.74,NO,mobile,1,13,0
2020-02-03 13:32:59,user_1998,10.3.46.160,NO,mobile,1,13,0
2020-02-03 13:33:02,user_1998,10.3.46.160,NO,mobile,0,13,0
2020-02-03 13:33:04,user_1998,10.3.46.160,NO,tablet,0,13,0
2020-02-03 13:33:28,user_1600,152.93.214.183,NO,desktop,1,13,0
2020-02-03 13:33:34,user_772,170.39.79.180,US,mobile,1,13,0
2020-02-03 13:33:38,user_772,170.39.79.180,US,mobile,0,13,0
2020-02-03 13:34:51,user_772,170.39.79.180,US,mobile,1,13,0
2020-02-03 13:36:48,user_2136,51.175.29.231,NO,tablet,1,13,0
2020-02-03 13:37:00,user_2145,78.91.21.198,NO,desktop,1,13,0
2020-02-03 13:38:15,user_536,80.211.253.163,PL,mobile,1,13,0
2020-02-03 13:38:52,user_536,80.211.253.163,PL,mobile,1,13,0
2020-02-03 13:40:07,user_2136,51.175.29.231,NO,tablet,1,13,0
2020-02-03 13:40:18,user_1256,87.248.0.39,NO,mobile,0,13,0
2020-02-03 13:41:02,user_1127,84.48.217.153,NO,mobile,1,13,0
2020-02-03 13:42:09,user_2374,82.147.54.178,NO,mobile,1,13,0
2020-02-03 13:46:42,user_2550,209.236.117.37,US,mobile,1,13,0
2020-02-03 13:47:22,user_2577,170.39.76.217,US,mobile,0,13,0
2020-02-03 13:47:24,user_772,170.39.79.180,US,mobile,1,13,0
2020-02-03 13:47:39,user_1256,87.248.0.39,NO,mobile,0,13,0
2020-02-03 13:47:46,user_2550,209.236.117.37,US,mobile,1,13,0
2020-02-03 13:48:07,user_2550,209.236.117.37,US,mobile,1,13,0
2020-02-03 13:49:27,user_2649,91.90.106.237,NO,desktop,1,13,0
2020-02-03 13:49:27,user_2136,51.175.29.231,NO,tablet,1,13,0
2020-02-03 13:50:11,user_772,170.39.79.180,US,mobile,1,13,0
2020-02-03 13:51:47,user_2136,51.175.29.231,NO,tablet,1,13,0
2020-02-03 13:52:36,user_196,139.164.65.202,NO,desktop,1,13,0
2020-02-03 13:53:31,user_772,170.39.79.180,US,mobile,1,13,0
2020-02-03 13:53:41,user_2136,51.175.29.231,NO,tablet,1,13,0
2020-02-03 13:54:08,user_2840,209.236.117.154,US,mobile,1,13,0
2020-02-03 13:55:21,user_2899,51.175.220.252,NO,desktop,1,13,0
2020-02-03 13:55:40,user_536,80.211.253.163,PL,mobile,1,13,0
2020-02-03 13:55:43,user_2917,79.161.116.18,NO,desktop,1,13,0
2020-02-03 13:55:49,user_2577,170.39.76.217,US,mobile,0,13,0
2020-02-03 13:56:18,user_536,80.211.253.163,PL,mobile,1,13,0
2020-02-03 13:56:35,user_2956,156.52.7.243,NO,desktop,0,13,0
2020-02-03 13:56:59,user_536,10.0.83.252,PL,mobile,1,13,0
