user,login_attempt_count,failed_login_count,success_login_count,unique_ip_count,unique_country_count,unique_device_count,avg_login_hour,std_login_hour,first_login_time,last_login_time,failed_login_ratio,activity_span_hours,login_rate_per_hour,ip_entropy,country_entropy,device_entropy,anomaly_label,anomaly_score,raw_risk,risk_score,risk_level
user_4634,101,39,62,16,1,1,13.653465346534654,5.036736331324793,2020-02-03 14:38:57,2020-02-17 07:37:34,0.3861386138613861,328.9769444444444,0.3060819905767827,3.830243226438269,0.0,0.0,-1,-0.12080600762306593,0.12080600762306593,100.0,High
user_105979,36,1,35,13,3,2,15.97222222222222,5.886964345598605,2020-02-07 01:25:57,2020-02-17 00:24:57,0.0277777777777777,238.9833333333333,0.1500104173900965,3.012494513648201,0.9444885298381204,0.5813214958783127,-1,-0.11099597758177238,0.11099597758177238,96.91,High
user_12803,44,2,42,14,3,2,12.045454545454543,8.023090355863564,2020-02-03 18:26:20,2020-02-17 01:02:27,0.0454545454545454,318.6019444444444,0.1376712525215828,3.0478042298945613,0.5304060735025193,0.5107878200686232,-1,-0.10780988800605718,0.10780988800605718,95.91,High
user_2899,75,0,75,48,1,1,11.853333333333332,6.65499879857307,2020-02-03 13:55:21,2020-02-17 10:16:55,0.0,332.3594444444444,0.2249823763805168,4.902611817811968,0.0,0.0,-1,-0.10445732421727172,0.10445732421727172,94.85,High
user_22173,91,27,64,18,2,1,10.351648351648352,3.763490183839777,2020-02-04 05:49:42,2020-02-09 17:16:45,0.2967032967032967,131.45083333333332,0.6870473949452942,3.435300440360361,0.0872805859982433,0.0,-1,-0.10414297235149772,0.10414297235149772,94.75,High
user_118621,73,7,66,10,3,1,11.054794520547944,3.861815962294972,2020-02-07 13:42:37,2020-02-16 14:24:01,0.0958904109589041,216.69,0.3353392438789104,1.2776914634027168,0.8186534597436788,0.0,-1,-0.10351121374081784,0.10351121374081784,94.55,High
user_150259,63,63,0,4,2,1,4.079365079365079,3.153603097030378,2020-02-09 01:45:19,2020-02-13 02:34:31,1.0,96.82,0.6440400736045799,0.4363919826124914,0.1175946627734747,0.0,-1,-0.10104796990993081,0.10104796990993081,93.78,High
user_7577,27,27,0,2,2,2,16.074074074074073,3.2096719928980755,2020-02-03 15:58:05,2020-02-11 10:12:22,1.0,186.23805555555555,0.1442014547731126,0.8256265232725053,0.8256265232725053,0.7642045036232302,-1,-0.08903576083568243,0.08903576083568243,89.99,High
user_94570,72,25,47,19,1,1,7.319444444444445,4.849354215432117,2020-02-06 15:48:16,2020-02-15 12:13:34,0.3472222222222222,212.42166666666665,0.3373603117459177,3.6017705093376917,0.0,0.0,-1,-0.07233192373225206,0.07233192373225206,84.73,High
user_58977,72,11,61,24,1,1,10.97222222222222,5.921962517831213,2020-02-05 10:23:50,2020-02-15 05:48:05,0.1527777777777778,235.40416666666667,0.3045631598427833,4.110024065724931,0.0,0.0,-1,-0.06978868494827883,0.06978868494827883,83.93,High
user_2577,33,33,0,20,1,1,7.818181818181818,4.572024616174883,2020-02-03 13:47:22,2020-02-16 03:40:49,1.0,301.8908333333333,0.1089501443039158,4.101381500238985,0.0,0.0,-1,-0.06848158478077981,0.06848158478077981,83.52,High
user_177744,19,19,0,1,1,2,9.0,0.0,2020-02-10 09:03:43,2020-02-10 09:29:11,1.0,0.4244444444444444,13.338533541341654,0.0,0.0,0.8997437558128725,-1,-0.06624197558448786,0.06624197558448786,82.81,High
user_93785,80,15,65,12,2,1,10.625,5.375459944995698,2020-02-06 15:19:07,2020-02-13 09:49:14,0.1875,162.50194444444443,0.4892908171326539,2.835851595341196,0.0969446031770831,0.0,-1,-0.06593080925519035,0.06593080925519035,82.72,High
user_240746,32,32,0,5,1,3,14.15625,3.2637735432985364,2020-02-12 13:16:10,2020-02-16 12:37:10,1.0,95.35,0.3321224701608718,2.0353743227672063,0.0,1.2700599532619865,-1,-0.06445035740969796,0.06445035740969796,82.25,High
user_46292,10,3,7,2,2,3,19.6,0.5163977794943225,2020-02-04 19:53:47,2020-02-09 20:45:30,0.3,120.86194444444445,0.0820600725319863,0.4689955907038912,0.4689955907038912,1.5219280905592771,-1,-0.06411440067870033,0.06411440067870033,82.14,High
user_111779,10,8,2,2,2,2,11.0,1.05409255338946,2020-02-07 09:21:29,2020-02-07 12:45:00,0.8,3.3919444444444444,2.2768958320156854,0.9709505915692788,0.9709505915692788,0.9709505915692788,-1,-0.06254507221827121,0.06254507221827121,81.65,High
user_81631,16,0,16,6,3,2,14.625,4.349329450233296,2020-02-06 07:42:43,2020-02-14 21:07:16,0.0,205.40916666666664,0.0775159371959417,2.224601744058411,1.1994602889735562,0.6962122572397558,-1,-0.059937533565984746,0.059937533565984746,80.83,High
user_152094,89,89,0,3,1,1,9.089887640449438,6.18399776813695,2020-02-09 06:51:09,2020-02-12 10:02:21,1.0,75.18666666666667,1.1681834091704586,1.2148959377141522,0.0,0.0,-1,-0.05939442524313698,0.05939442524313698,80.66,High
user_59335,14,14,0,12,2,1,13.214285714285714,4.388421328706003,2020-02-05 10:36:56,2020-02-16 13:45:35,1.0,267.14416666666665,0.0522107199796129,3.5216406190309777,0.5916727756969373,0.0,-1,-0.05662970773933518,0.05662970773933518,79.79,High
user_173295,59,19,40,13,2,1,6.88135593220339,3.157283564879632,2020-02-10 04:36:41,2020-02-14 06:08:30,0.3220338983050847,97.53027777777778,0.598800707058462,3.1580511789131043,0.1239498648256176,0.0,-1,-0.05050286149564975,0.05050286149564975,77.86,High
user_29450,19,4,15,2,2,3,13.789473684210526,3.083629668073741,2020-02-04 10:45:51,2020-02-08 22:14:12,0.2105263157894736,107.4725,0.1751596026642697,0.4854607578605233,0.4854607578605233,1.4674579605202145,-1,-0.050049238012555786,0.050049238012555786,77.71,High
user_213769,51,3,48,6,1,3,15.823529411764708,2.405875161789913,2020-02-11 13:03:43,2020-02-12 19:05:55,0.0588235294117647,30.036666666666665,1.6432176994952208,1.8535115617631963,0.0,1.2492864038788394,-1,-0.04999537190049885,0.04999537190049885,77.7,High
